gap,addr,rxtx,subaddr,count,data
93134.6,7,FALSE,1,10,48b93dc901e443c4fab151cb1cc4cd58d469de23
11.7,7,FALSE,2,5,cb1f36e5d457f78a14a6
11.7,7,FALSE,6,25,efe76a30f55010989d264c7d213c4225ee1bdf5f91b71c9f844055408c59a9d84986106840564ba907686a3ab5ea3a0865dd
11.7,7,FALSE,30,2,88830b3d
11.7,7,TRUE,3,32,8c370935ffb387bc22895e9c028648e3676553f7ccb258365e9c62799b4e5d1cfe0babc54893a73fa63daf36c518790f81388e329344ac4e41f6a317260d1698
11.7,7,TRUE,20,31,7a27520eeb0a3f685997f62bdfa325e3dd7e60a8abb4e0f1ff384d4de9346d1a7e33217daa69ad8b53b404be532958057048e5ee7b829c3de91720d9c8a8
11.7,7,TRUE,30,2,942ea145
11.7,4,FALSE,16,9,f8ec89d326f1c09f5642db53cf42d2445e33
11.7,4,FALSE,30,2,7660b816
11.6,4,TRUE,19,16,3b712816c9d95e28bbd92cc68821fbe8eb67971e13dd3665fdd5d9615109a096
11.7,4,TRUE,20,31,ceb3b7a32382e6c4829f5adde8be43d81e02d13671808302572c9065fdd35388abe2ce779e211efd2b0b1e2ebeb0100092238f3378d8a00bf4c24bc01b24
11.7,4,TRUE,26,31,f4f667f32051c0a43584dd883fe194a50bbaee34776e40116adff214924bb6906bb83d75b18be824cbc258714b5bf643a4f6591b4bbb66e7151a06055621
11.7,4,TRUE,30,2,90d9946a
11.7,1,FALSE,1,10,5f5dd1baa1b3539fa328935db101565d163a62af
26.4,1,FALSE,1,10,bf7a3c79d8a38787c36547895fd78ae274efd5f0
11.7,1,FALSE,2,5,496c64415b01ac8110ba
26.4,1,FALSE,2,5,62adc77eed69703d3dc0
11.7,1,FALSE,6,16,b5c93205833206685d6fc3213e61d8878147cd50f9cec2305a9fec5d25a6934a
26.4,1,FALSE,6,16,3d0fe531113e4e979c2fb641cb66a9fea64a2735a66bab312fa656c1f1dce71f
11.6,1,FALSE,30,2,62be4563
26.3,1,FALSE,30,2,cdca257a
11.7,1,TRUE,2,5,240d24508a90f662b8dc
26.4,1,TRUE,2,5,de16c5b7228e9788e0b8
11.6,1,TRUE,3,9,7e6813e288e14b21bf2edf42383c42c70366
26.4,1,TRUE,3,9,15960df88b898948d9bb7a5b583147bf5146
11.7,1,TRUE,20,5,176427788a7fddf10763
26.4,1,TRUE,20,5,b238cbacb356a8242993
11.6,1,TRUE,30,2,ebd1b274
26.4,1,TRUE,30,2,e7d86da7
93149.5,7,FALSE,1,10,35ab3444fed6b32fbb002ce2c76b3a65cb67f8e5
11.7,7,FALSE,2,5,45a058661c82b66eb3bf
11.7,7,FALSE,6,25,293022a240d255ddb1f6c5a0fdf329995201856a0eb8b84800260b3160b3edcad958ba6a7de82e8404d4c11e935a41620e0c
11.6,7,FALSE,30,2,38c16544
11.6,7,TRUE,3,32,602c7e65cf4047fb11569b0ad295a52e79951ddf4a0f6db7a48fffcae77d6809e9f86f8a7ca96d68a3a715574beef1eea8efebeb2b27b407ec09917c350e3c84
11.6,7,TRUE,20,31,1596ac7c582e1aa974ad1bdccf83ed18ea68be6760eded5349121a09ae1b196b7e416c7fca355701a32602af56eade52e922035d8596f861b640270b8294
11.7,7,TRUE,30,2,5b41f181
